"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.001,"uniform",0.253333333333333,0.0355110832985568,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.002,"uniform",0.466666666666667,0.0407340061773852,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.005,"uniform",0.94,0.0193907194296653,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.01,"uniform",0.826666666666667,0.0309072687123799,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.02,"uniform",0.68,0.0380876182855619,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,0.05,1891,0.05,"uniform",0.4,0.04,0.0799999999999272,0.0861333333333217
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0,"uniform",0.0333333333333333,0.0146565621758588,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,1e-04,"uniform",0.0866666666666667,0.022971802360801,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,5e-04,"uniform",0.22,0.0338230690505755,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0.001,"uniform",0.293333333333333,0.0371742642956915,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0.002,"uniform",0.533333333333333,0.0407340061773852,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0.005,"uniform",0.98,0.0114309521329882,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0.01,"uniform",0.88,0.0265329983228432,0.130000000000109,0.127933333333337
"folded_normal","L-FN3",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,0.05,1891,0.02,"uniform",0.813333333333333,0.0318142758545303,0.130000000000109,0.127933333333337
